Category,Sub Category,Product,Price,Rating,Rating_Count
Arts & Crafts,Knitting & Crochet,"2 PCS Latch Hook Crochet Needle + 30 PCS Dreadlocks Hair Ring Decoration Braiding Hair Silver Gold Metal, for Crochet Braids Hair Decoration Accessories",$4.99,4.4,2934
Arts & Crafts,Knitting & Crochet,"Clover 3672 Amour Crochet Hook Set, 10 sizes",$38.59,4.9,4143
Arts & Crafts,Knitting & Crochet,"CURMIO Double-Layer Knitting Tote Bag, Yarn Storage Bag with Compartments for Crochet Hooks, Knitting Needles (Up to 14 Inches), Knitting Project and Accessories, Black (Bag Only, Patented Design)",$30.99,4.8,81
Arts & Crafts,Knitting & Crochet,"Caron® Little Crafties™ 20 Assorted Acrylic Yarn Skeins 63yd Each for Knitting and Crochet Projects , Multipack Starter Kit",$17.99,4.5,706
Arts & Crafts,Knitting & Crochet,"CURMIO Knitting Bag, Yarn Storage Tote with Compartments for Knitting Needles, Crochet Hooks, Knitting Project and Accessories, Bag Only, Gray",$24.99,4.9,43
Arts & Crafts,Knitting & Crochet,Caron Simply Soft Solids Yarn (4) Medium Gauge 100% Acrylic - 6 oz - White - Machine Wash & Dry,$3.48,4.7,8166
,Knitting & Crochet,Dreadlock Crochet Hook Tool，Braid Hair Dreadlocks Needle Weaving Crochet for Braid Craft (0.75mm),$8.55,4.5,3940
Arts & Crafts,Knitting & Crochet,"CRAFTISS 30x20g Acrylic Yarn Skeins - 1300 Yards of Soft Yarn for Crocheting and Knitting Craft Project, Assorted Starter Crochet Kit Yarn Bulk for Adults and Kids",$26.99,4.3,1732
Arts & Crafts,Knitting & Crochet,"WooCrafts Large-Eye Blunt Needles Yarn Knitting Plus Crochet Hooks Set with Case,Ergonomic Handle Crochet Hooks Needles for Arthritic Hands.Best Gift!",$10.95,4.8,10800
Arts & Crafts,Knitting & Crochet,Stitch Markers Ortarco 120 PCS Crochet Stitch Markers with 4 PCS Large Eye Sewing Blunt Needles 3 Sizes for Knitting Sewing Stitching Weaving 10 Colors with Storage Case,$5.49,4.8,972
Arts & Crafts,Knitting & Crochet,"Boye 6218-J 6-Inch Long Aluminum Crochet Hook, 5.75 mm",$1.98,4.6,407
